fullName,Number,birthDate,currentAge,City,StateProvvince,birthCountry,height,weight,active,alternateCaptain,captain,rookie,rosterStatus,Team,Position,Long,Lat
Brendan Smith,2,1989-02-08,34,Mimico,ON,CAN,"6' 2""",200,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Defenseman,-79.5111199,43.61832770000000
Erik Haula,56,1991-03-23,32,Pori,,FIN,"5' 11""",191,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Left Wing,21.7974178,61.4851393
Tyler Toffoli,73,1992-04-24,31,Scarborough,ON,CAN,"6' 0""",203,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Right Wing,-79.2317521,43.7764258
Ondrej Palat,18,1991-03-28,32,Frydek-Mistek,,CZE,"6' 0""",194,TRUE,TRUE,FALSE,FALSE,Y,New Jersey Devils,Left Wing,18.3673216,49.6819305
Dougie Hamilton,7,1993-06-17,30,Toronto,ON,CAN,"6' 6""",230,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Defenseman,-79.3831843,43.653226
Curtis Lazar,42,1995-02-02,28,Salmon Arm,BC,CAN,"6' 0""",203,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Center,-119.2838443,50.7001034
Vitek Vanecek,41,1996-01-09,27,Havlickuv Brod,,CZE,"6' 2""",184,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Goalie,15.5796552,49.6043364
Jonas Siegenthaler,71,1997-05-06,26,Zurich,,CHE,"6' 2""",218,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Defenseman,8.541694,47.3768866
Timo Meier,96,1996-10-08,26,Herisau,,CHE,"6' 1""",220,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Right Wing,9.2798472,47.3857009
John Marino,6,1997-05-21,26,North Easton,MA,USA,"6' 1""",181,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Defenseman,-71.1045482,42.06666200000000
Jesper Bratt,63,1998-07-30,24,Stockholm,,SWE,"5' 10""",175,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Left Wing,18.0685808,59.32932350000000
Nico Hischier,13,1999-01-04,24,Brig,,CHE,"6' 1""",175,TRUE,FALSE,TRUE,FALSE,Y,New Jersey Devils,Center,7.987820800000000,46.3158992
Kevin Bahl,88,2000-06-27,23,New Westminster,BC,CAN,"6' 6""",230,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Defenseman,-122.910956,49.2057179
Akira Schmid,40,2000-05-12,23,Bern,,CHE,"6' 5""",205,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Goalie,7.4474468,46.9479739
Nolan Foote,25,2000-11-29,22,Denver,CO,USA,"6' 3""",196,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Left Wing,-104.990251,39.7392358
Jack Hughes,86,2001-05-14,22,Orlando,FL,USA,"5' 11""",175,TRUE,TRUE,FALSE,FALSE,Y,New Jersey Devils,Center,-81.3789269,28.5383832
Tyce Thompson,12,1999-07-12,23,Calgary,AB,CAN,"6' 1""",175,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Right Wing,-114.0718831,51.04473310000000
Nico Daws,50,2000-12-22,22,Munich,,DEU,"6' 4""",205,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Goalie,11.5819806,48.1351253
Dawson Mercer,91,2001-10-27,21,Carbonear,NL,CAN,"6' 0""",180,TRUE,FALSE,FALSE,FALSE,Y,New Jersey Devils,Center,-53.2356788,47.72726
Alexander Holtz,10,2002-01-23,21,Stockholm,,SWE,"6' 0""",195,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Right Wing,18.0685808,59.32932350000000
Luke Hughes,43,2003-09-09,19,Manchester,NH,USA,"6' 2""",184,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Defenseman,-71.4547891,42.9956397
Topias Vilen,,2003-04-01,20,Lahti,,FIN,"6' 1""",194,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Defenseman,25.6612096,60.98267490000000
Simon Nemec,5,2004-02-15,19,Liptovský Mikulá,,SVK,"6' 1""",190,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Defenseman,0.0,0.0
Brian Halonen,,1999-01-11,24,Delano,MN,USA,"6' 0""",207,TRUE,FALSE,FALSE,TRUE,Y,New Jersey Devils,Left Wing,-93.7891331,45.0419073
Oliver Wahlstrom,26,2000-06-13,23,Portland,ME,USA,"6' 2""",204,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Right Wing,-70.2568189,43.6590993
Cal Clutterbuck,15,1987-11-18,35,Welland,ON,CAN,"6' 0""",212,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Right Wing,-79.2482555,42.9921579
Matt Martin,17,1989-05-08,34,Windsor,ON,CAN,"6' 3""",220,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Left Wing,-83.03636330000000,42.3149367
Kyle Palmieri,21,1991-02-01,32,Smithtown,NY,USA,"5' 11""",198,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-73.2006687,40.8559314
Casey Cizikas,53,1991-02-27,32,Toronto,ON,CAN,"5' 11""",190,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-79.3831843,43.653226
Anders Lee,27,1990-07-03,32,Edina,MN,USA,"6' 3""",235,TRUE,FALSE,TRUE,FALSE,Y,New York Islanders,Left Wing,-93.3499489,44.8896866
Brock Nelson,29,1991-10-15,31,Warroad,MN,USA,"6' 4""",210,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-95.31440410000000,48.9052657
Jean-Gabriel Pageau,44,1992-11-11,30,Ottawa,ON,CAN,"5' 11""",185,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-75.69719310000000,45.4215296
Adam Pelech,3,1994-08-16,28,Toronto,ON,CAN,"6' 3""",210,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Defenseman,-79.3831843,43.653226
Hudson Fasching,20,1995-07-28,27,Apple Valley,MN,USA,"6' 3""",204,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Right Wing,-93.21772000000000,44.7319094
Bo Horvat,14,1995-04-05,28,London,ON,CAN,"6' 0""",215,TRUE,FALSE,FALSE,FALSE,Y,New York Islanders,Center,-81.2452768,42.9849233
